"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1350","Senile/presenile dementia","E00..12",,"85815","CPRD_GOLD"
"1916","Senile dementia","E00..11",,"37384","CPRD_GOLD"
"4357","[X] Senile dementia NOS","Eu02z14",,"16632","CPRD_GOLD"
"4693","[X] Unspecified dementia","Eu02z00",,"59265","CPRD_GOLD"
"5931","H/O: dementia","1461.00",,"23320","CPRD_GOLD"
"7323","Uncomplicated senile dementia","E000.00",,"21961","CPRD_GOLD"
"7572","Lewy body disease","F116.00",,"2225","CPRD_GOLD"
"9509","[X]Dementia in Parkinson's disease","Eu02300",,"3193","CPRD_GOLD"
"10288","Normal pressure hydrocephalus","F113000",,"673","CPRD_GOLD"
"11136","Pick's disease","F111.00",,"383","CPRD_GOLD"
"12621","[X]Dementia in other diseases classified elsewhere","Eu02.00",,"1307","CPRD_GOLD"
"12710","Dementia annual review","6AB..00",,"359700","CPRD_GOLD"
"15165","Presenile dementia","E001.00",,"2452","CPRD_GOLD"
"18386","Senile dementia with paranoia","E002000",,"713","CPRD_GOLD"
"21887","Senile dementia with depression","E002100",,"916","CPRD_GOLD"
"23835","Korsakoff's non-alcoholic psychosis","E040.11",,"444","CPRD_GOLD"
"25386","Dementia in conditions EC","E041.00",,"2478","CPRD_GOLD"
"26270","[X]Lewy body dementia","Eu02500",,"4876","CPRD_GOLD"
"26323","[X]Alcoholic dementia NOS","Eu10711",,"858","CPRD_GOLD"
"27342","Alcoholic dementia NOS","E012.11",,"1071","CPRD_GOLD"
"27677","Presenile dementia with depression","E001300",,"142","CPRD_GOLD"
"27759","[X] Senile dementia, depressed or paranoid type","Eu02z16",,"226","CPRD_GOLD"
"28402","[X]Dementia in Pick's disease","Eu02000",,"270","CPRD_GOLD"
"30032","Presenile dementia with paranoia","E001200",,"202","CPRD_GOLD"
"30641","Excepted from dementia quality indicators: Patient unsuitabl","9hD0.00",,"12561","CPRD_GOLD"
"34944","[X] Primary degenerative dementia NOS","Eu02z13",,"128","CPRD_GOLD"
"37014","[X]Dementia in Huntington's disease","Eu02200",,"273","CPRD_GOLD"
"37015","Senile dementia with delirium","E003.00",,"847","CPRD_GOLD"
"38286","Jakob-Creutzfeldt disease","A411.00",,"107","CPRD_GOLD"
"38438","Presenile dementia NOS","E001z00",,"318","CPRD_GOLD"
"40805","Excepted from dementia quality indicators: Informed dissent","9hD1.00",,"3852","CPRD_GOLD"
"41089","Senile dementia with depressive or paranoid features NOS","E002z00",,"54","CPRD_GOLD"
"41185","[X]Dementia in human immunodef virus [HIV] disease","Eu02400",,"36","CPRD_GOLD"
"42602","Uncomplicated presenile dementia","E001000",,"54","CPRD_GOLD"
"44341","Exception reporting: dementia quality indicators","9hD..00",,"213","CPRD_GOLD"
"44674","Senile dementia with depressive or paranoid features","E002.00",,"334","CPRD_GOLD"
"48501","[X] Presenile dementia NOS","Eu02z11",,"106","CPRD_GOLD"
"48531","Cerebral degeneration due to Jakob - Creutzfeldt disease","F11x700",,"88","CPRD_GOLD"
"49513","Presenile dementia with delirium","E001100",,"181","CPRD_GOLD"
"49674","Dementia monitoring first letter","9Ou1.00",,"27566","CPRD_GOLD"
"53446","[X]Delirium superimposed on dementia","Eu04100",,"254","CPRD_GOLD"
"54106","[X]Dementia in Creutzfeldt-Jakob disease","Eu02100",,"55","CPRD_GOLD"
"54505","Other alcoholic dementia","E012.00",,"223","CPRD_GOLD"
"55023","Dementia monitoring","66h..00",,"16899","CPRD_GOLD"
"55222","Language disorder of dementia","ZS7C500",,"13","CPRD_GOLD"
"55838","[X]Predominantly cortical dementia","Eu01111",,"48","CPRD_GOLD"
"62132","Drug-induced dementia","E02y100",,"46","CPRD_GOLD"
"64267","[X]Dementia in other specified diseases classif elsewhere","Eu02y00",,"115","CPRD_GOLD"
"65235","Dementia monitoring telephone invite","9Ou5.00",,"1571","CPRD_GOLD"
"83576","Dementia monitoring second letter","9Ou2.00",,"6832","CPRD_GOLD"
"85853","Dementia monitoring administration","9Ou..00",,"1612","CPRD_GOLD"
"89036","Dementia monitoring third letter","9Ou3.00",,"2848","CPRD_GOLD"
"89037","Dementia monitoring verbal invite","9Ou4.00",,"601","CPRD_GOLD"
"104534","Frontotemporal degeneration","F118.00",,"236","CPRD_GOLD"
"106311","Dementia care plan","8CMZ.00",,"21553","CPRD_GOLD"
"108228","Dementia advance care plan agreed","8CSA.00",,"4377","CPRD_GOLD"
"108268","Review of dementia advance care plan","8CMG200",,"10793","CPRD_GOLD"
"108391","Dementia advance care plan declined","8IAe000",,"144","CPRD_GOLD"
"109047","Antipsychotic drug therapy for dementia","8BPa.00",,"34","CPRD_GOLD"
"109288","Sporadic Creutzfeldt-Jakob disease","A411000",,"39","CPRD_GOLD"
"109708","Dementia care plan reviewed","8CMZ100",,"28117","CPRD_GOLD"
"109731","Dementia care plan agreed","8CMZ000",,"5145","CPRD_GOLD"
"109737","Dementia medication review","8BM0200",,"982","CPRD_GOLD"
"109786","Dementia care plan declined","8CMZ200",,"185","CPRD_GOLD"
"109790","Dementia advance care plan","8CMe000",,"1492","CPRD_GOLD"
"110075","Dementia advance care plan review declined","8IAe200",,"47","CPRD_GOLD"
"110123","Dementia care plan review declined","8CMZ300",,"117","CPRD_GOLD"
