"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"81717011","Parkinson's disease","F12..00","49049000","975173","CPRD_AURUM"
"909021000006117","[RFC] Parkinson's disease","","909021000006101","4608","CPRD_AURUM"
"1148731000000112","History of Parkinson's disease","147F.00","515841000000104","2478","CPRD_AURUM"
"295688010","[X]Dementia in Parkinson's disease","Eu02300","425390006","31063","CPRD_AURUM"
"297037012","Parkinson's disease NOS","F12z.00","49049000","72603","CPRD_AURUM"
"3293651000006113","PD - Parkinson's disease","","49049000","0","CPRD_AURUM"
"3293661000006110","Parkinsons disease","","49049000","106","CPRD_AURUM"
"3293641000006111","Parkinson disease","","49049000","54","CPRD_AURUM"
"7043661000006117","Dementia associated with Parkinson Disease","","425390006","2","CPRD_AURUM"
"3293671000006115","Primary Parkinsonism","","49049000","0","CPRD_AURUM"
"3293611000006112","Paralysis agitans","","49049000","0","CPRD_AURUM"
"81719014","Paralysis agitans","F120.00","49049000","30400","CPRD_AURUM"
"905821000006112","[RFC] Parkinson's disease","","905821000006108","1667","CPRD_AURUM"
"636681000000117","Cerebral degeneration in Parkinson's disease","F11x900","341551000000108","160","CPRD_AURUM"
"8193781000006112","History of Parkinson disease","","515841000000104","0","CPRD_AURUM"
"7043651000006119","Dementia associated with Parkinson's Disease","","425390006","79","CPRD_AURUM"
"3293631000006118","Idiopathic Parkinson's disease","","49049000","185","CPRD_AURUM"
